end,dengue fever: (Singapore),insect repellent: (Singapore),end
2018-08-26,23,5,2018-08-26
2018-09-02,18,11,2018-09-02
2018-09-09,30,9,2018-09-09
2018-09-16,24,10,2018-09-16
2018-09-23,21,14,2018-09-23
2018-09-30,17,7,2018-09-30
2018-10-07,16,7,2018-10-07
2018-10-14,19,15,2018-10-14
2018-10-21,21,12,2018-10-21
2018-10-28,16,11,2018-10-28
2018-11-04,22,16,2018-11-04
2018-11-11,16,15,2018-11-11
2018-11-18,22,14,2018-11-18
2018-11-25,35,16,2018-11-25
2018-12-02,30,11,2018-12-02
2018-12-09,20,5,2018-12-09
2018-12-16,30,8,2018-12-16
2018-12-23,26,0,2018-12-23
2018-12-30,40,10,2018-12-30
2019-01-06,48,5,2019-01-06
2019-01-13,32,5,2019-01-13
2019-01-20,24,0,2019-01-20
2019-01-27,33,5,2019-01-27
2019-02-03,47,0,2019-02-03
2019-02-10,65,11,2019-02-10
2019-02-17,33,6,2019-02-17
2019-02-24,39,25,2019-02-24
2019-03-03,34,9,2019-03-03
2019-03-10,29,9,2019-03-10
2019-03-17,33,10,2019-03-17
2019-03-24,22,9,2019-03-24
2019-03-31,39,8,2019-03-31
2019-04-07,32,13,2019-04-07
2019-04-14,30,8,2019-04-14
2019-04-21,35,8,2019-04-21
2019-04-28,44,8,2019-04-28
2019-05-05,36,25,2019-05-05
2019-05-12,54,16,2019-05-12
2019-05-19,40,4,2019-05-19
2019-05-26,56,9,2019-05-26
2019-06-02,30,20,2019-06-02
2019-06-09,52,0,2019-06-09
2019-06-16,83,18,2019-06-16
2019-06-23,97,9,2019-06-23
2019-06-30,85,9,2019-06-30
2019-07-07,96,6,2019-07-07
2019-07-14,85,0,2019-07-14
2019-07-21,100,9,2019-07-21
2019-07-28,86,14,2019-07-28
2019-08-04,85,13,2019-08-04
2019-08-11,96,0,2019-08-11
2019-08-18,76,13,2019-08-18
2019-08-25,64,5,2019-08-25
2019-09-01,57,0,2019-09-01
2019-09-08,52,17,2019-09-08
2019-09-15,41,6,2019-09-15
2019-09-22,37,5,2019-09-22
2019-09-29,33,8,2019-09-29
2019-10-06,31,6,2019-10-06
2019-10-13,46,17,2019-10-13
2019-10-20,40,21,2019-10-20
2019-10-27,29,11,2019-10-27
2019-11-03,50,0,2019-11-03
2019-11-10,38,14,2019-11-10
2019-11-17,45,8,2019-11-17
2019-11-24,56,8,2019-11-24
2019-12-01,44,20,2019-12-01
2019-12-08,38,12,2019-12-08
2019-12-15,52,17,2019-12-15
2019-12-22,55,8,2019-12-22
2019-12-29,59,9,2019-12-29
2020-01-05,63,16,2020-01-05
2020-01-12,64,7,2020-01-12
2020-01-19,48,7,2020-01-19
2020-01-26,40,10,2020-01-26
2020-02-02,44,10,2020-02-02
2020-02-09,67,7,2020-02-09
2020-02-16,69,7,2020-02-16
2020-02-23,45,12,2020-02-23
2020-03-01,52,10,2020-03-01
2020-03-08,37,7,2020-03-08
2020-03-15,38,0,2020-03-15
2020-03-22,58,9,2020-03-22
2020-03-29,29,19,2020-03-29
2020-04-05,28,0,2020-04-05
2020-04-12,27,3,2020-04-12
2020-04-19,37,10,2020-04-19
2020-04-26,32,9,2020-04-26
2020-05-03,26,5,2020-05-03
2020-05-10,58,9,2020-05-10
2020-05-17,45,9,2020-05-17
2020-05-24,55,14,2020-05-24
2020-05-31,67,16,2020-05-31
2020-06-07,98,19,2020-06-07
2020-06-14,83,18,2020-06-14
2020-06-21,99,15,2020-06-21
2020-06-28,87,21,2020-06-28
2020-07-05,81,18,2020-07-05
2020-07-12,81,19,2020-07-12
2020-07-19,100,12,2020-07-19
2020-07-26,91,31,2020-07-26
2020-08-02,96,22,2020-08-02
2020-08-09,85,13,2020-08-09
2020-08-16,63,12,2020-08-16
2020-08-23,55,8,2020-08-23
2020-08-30,50,21,2020-08-30
2020-09-06,43,8,2020-09-06
2020-09-13,30,19,2020-09-13
2020-09-20,36,13,2020-09-20
2020-09-27,18,15,2020-09-27
2020-10-04,27,14,2020-10-04
2020-10-11,27,10,2020-10-11
2020-10-18,21,11,2020-10-18
2020-10-25,32,0,2020-10-25
2020-11-01,21,5,2020-11-01
2020-11-08,13,11,2020-11-08
