,end,dengue fever
443,2020-07-04,1444.0
444,2020-07-11,1665.0
445,2020-07-18,1725.0
446,2020-07-25,1791.0
447,2020-08-01,1376.0
448,2020-08-08,1667.0
449,2020-08-15,1336.0
450,2020-08-22,1285.0
451,2020-08-29,1153.0
452,2020-09-05,937.0
453,2020-09-12,725.0
454,2020-09-19,671.0
455,2020-09-26,590.0
456,2020-10-03,605.0
457,2020-10-10,528.0
458,2020-10-17,591.0
459,2020-10-24,563.0
460,2020-10-31,440.0
461,2020-11-07,408.0
462,2020-11-14,354.0
463,2020-11-21,258.0
464,2020-11-28,279.0
465,2020-12-05,228.0
466,2020-12-12,227.0
467,2020-12-19,236.0
468,2020-12-26,196.0
469,2021-01-02,193.0
470,2021-01-09,194.0
471,2021-01-16,165.0
472,2021-01-23,151.0
473,2021-01-30,135.0
474,2021-02-06,141.0
475,2021-02-13,142.0
476,2021-02-20,148.0
477,2021-02-27,145.0
478,2021-03-06,139.0
479,2021-03-13,145.0
480,2021-03-20,129.0
481,2021-03-27,120.0
482,2021-04-03,113.0
483,2021-04-10,102.0
484,2021-04-17,112.0
485,2021-04-24,128.0
486,2021-05-01,84.0
487,2021-05-08,117.0
488,2021-05-15,92.0
489,2021-05-22,116.0
490,2021-05-29,129.0
491,2021-06-05,118.0
492,2021-06-12,137.0
493,2021-06-19,135.0
494,2021-06-26,126.0
495,2021-07-03,112.0
496,2021-07-10,104.0
497,2021-07-17,75.0
498,2021-07-24,80.0
499,2021-07-31,82.0
500,2021-08-07,70.0
501,2021-08-14,79.0
502,2021-08-21,56.0
503,2021-08-28,53.0
504,2021-09-04,46.0
505,2021-09-11,60.0
506,2021-09-18,74.0
507,2021-09-25,109.0
508,2021-10-02,105.0
509,2021-10-09,104.0
510,2021-10-16,85.0
511,2021-10-23,76.0
512,2021-10-30,75.0
513,2021-11-06,59.0
514,2021-11-13,42.0
515,2021-11-20,56.0
516,2021-11-27,63.0
517,2021-12-04,48.0
518,2021-12-11,64.0
519,2021-12-18,61.0
520,2021-12-25,68.0
521,2022-01-01,76.0
522,2022-01-08,106.0
523,2022-01-15,146.0
524,2022-01-22,178.0
525,2022-01-29,169.0
526,2022-02-05,153.0
527,2022-02-12,168.0
528,2022-02-19,206.0
529,2022-02-26,200.0
530,2022-03-05,263.0
531,2022-03-12,369.0
532,2022-03-19,421.0
533,2022-03-26,441.0
534,2022-04-02,510.0
535,2022-04-09,642.0
536,2022-04-16,733.0
537,2022-04-23,942.0
538,2022-04-30,1002.0
539,2022-05-07,845.0
540,2022-05-14,1311.0
541,2022-05-21,1273.0
542,2022-05-28,1563.0
543,2022-06-04,1451.0
544,2022-06-11,1459.0
545,2022-06-18,1253.0
546,2022-06-25,1171.0
547,2022-07-02,1186.0
548,2022-07-09,1164.0
549,2022-07-16,918.0
550,2022-07-23,1035.0
551,2022-07-30,1092.0
552,2022-08-06,894.0
553,2022-08-13,879.0
554,2022-08-20,679.0
555,2022-08-27,661.0
556,2022-09-03,577.0
557,2022-09-10,569.0
558,2022-09-17,545.0
559,2022-09-24,472.0
560,2022-10-01,426.0
561,2022-10-08,398.0
562,2022-10-15,376.0
563,2022-10-22,373.0
564,2022-10-29,313.0
565,2022-11-05,318.0
566,2022-11-12,294.0
567,2022-11-19,313.0
568,2022-11-26,267.0
569,2022-12-03,242.0
570,2022-12-10,326.0
571,2022-12-17,289.0
572,2022-12-24,272.0
573,2022-12-31,285.0
574,2023-01-07,279.0
575,2023-01-14,278.0
576,2023-01-21,272.0
577,2023-01-28,186.0
578,2023-02-04,223.0
579,2023-02-11,218.0
580,2023-02-18,148.0
581,2023-02-25,138.0
582,2023-03-04,111.0
583,2023-03-11,119.0
584,2023-03-18,149.0
585,2023-03-25,128.0
586,2023-04-01,108.0
587,2023-04-08,116.0
588,2023-04-15,132.0
589,2023-04-22,113.0
590,2023-04-29,128.0
591,2023-05-06,118.0
592,2023-05-13,100.0
593,2023-05-20,121.0
594,2023-05-27,133.0
595,2023-06-03,111.0
596,2023-06-10,162.0
597,2023-06-17,270.0
598,2023-06-24,214.0
599,2023-07-01,271.0
600,2023-07-08,235.0
601,2023-07-15,209.0
602,2023-07-22,202.0
603,2023-07-29,213.0
