Weekly Infectious Disease Bulletin - Year 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinic attendances - Average Daily numbers,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
35,8/26/2018,9/1/2018,0,0,1,1,0,0,0,0,75,0,0,0,684,0,2,9,1,0,0,0,0,1,9,0,0,1,0,0,4,0,23,0,0,0,0,0,0,0,2519,76,566,10
36,9/2/2018,9/8/2018,0,0,2,1,3,0,0,0,75,1,0,0,474,0,0,4,0,0,0,0,0,1,4,0,1,1,0,1,3,0,38,0,0,0,0,0,0,0,2422,68,499,13
37,9/9/2018,9/15/2018,0,0,0,2,2,0,0,0,49,0,0,0,594,0,0,10,1,0,0,0,0,0,13,0,1,0,0,0,3,0,30,0,0,0,0,0,0,0,2893,82,593,16
38,9/16/2018,9/22/2018,0,0,0,0,1,0,0,0,63,0,1,0,568,0,0,8,0,0,0,1,0,0,12,0,2,1,0,1,3,0,34,0,0,0,0,0,0,0,2845,87,606,13
39,9/23/2018,9/29/2018,0,1,1,1,0,0,0,0,40,0,2,0,622,0,0,7,1,0,0,1,0,2,11,2,0,0,0,2,2,0,28,0,0,0,0,0,0,0,2767,79,571,15
40,9/30/2018,10/6/2018,0,0,0,2,0,0,0,0,51,0,1,0,586,0,0,9,0,0,0,2,0,0,8,0,0,3,0,2,2,1,30,0,0,0,0,0,0,1,2659,83,578,15
41,10/7/2018,10/13/2018,0,0,2,0,1,0,0,0,51,0,1,0,547,0,0,8,0,0,0,1,0,0,8,0,1,1,1,4,3,0,36,0,0,0,0,0,0,0,2656,76,577,15
42,10/14/2018,10/20/2018,0,0,2,0,0,0,0,0,60,2,1,0,543,0,1,10,0,0,0,4,0,0,8,0,1,1,0,1,3,0,36,0,0,0,0,0,0,1,2904,81,620,12
43,10/21/2018,10/27/2018,0,0,0,1,3,0,0,0,78,0,0,2,561,0,0,5,0,0,0,1,0,0,10,1,1,2,0,2,3,0,40,0,0,0,0,0,0,1,2947,79,616,14
44,10/28/2018,11/3/2018,0,0,3,0,0,0,0,0,75,0,2,2,565,0,0,6,0,0,0,0,0,0,6,1,1,2,0,0,1,0,44,0,0,0,0,0,0,0,3016,82,584,15
45,11/4/2018,11/10/2018,0,0,0,1,1,0,0,0,71,0,0,0,528,0,1,11,0,0,0,1,0,2,11,0,2,2,1,0,3,0,34,0,0,0,0,0,0,0,3321,97,615,19
46,11/11/2018,11/17/2018,0,0,1,0,1,0,0,0,78,0,1,0,587,0,0,2,0,0,0,2,0,2,12,0,0,1,0,1,4,0,37,0,0,0,0,0,0,1,3272,84,593,12
47,11/18/2018,11/24/2018,0,1,1,0,0,0,0,0,97,0,0,0,607,0,2,10,0,0,0,0,0,0,9,0,1,0,0,2,1,0,31,0,0,0,0,0,0,1,3386,93,568,14
48,11/25/2018,12/1/2018,0,0,2,0,1,0,0,0,109,0,0,4,533,0,1,7,0,0,0,1,0,1,11,0,1,1,0,3,1,0,21,0,0,0,0,0,0,0,3295,91,543,12
49,12/2/2018,12/8/2018,0,0,0,2,0,0,0,0,114,1,1,1,500,0,0,3,0,0,0,1,0,0,7,0,0,2,0,2,3,0,31,0,0,0,0,0,0,0,3138,101,543,10
50,12/9/2018,12/15/2018,0,1,0,6,0,0,0,0,107,1,0,0,461,0,0,10,0,0,0,1,0,0,9,1,0,1,1,3,2,1,27,0,0,0,0,0,0,0,3036,81,509,7
51,12/16/2018,12/22/2018,0,0,1,6,0,0,0,0,127,1,2,0,486,0,0,4,0,0,0,1,0,0,15,0,1,0,0,1,1,0,33,0,0,0,0,0,0,0,2915,85,502,10
52,12/23/2018,12/29/2018,0,1,0,1,1,0,0,0,160,0,2,0,439,0,0,9,0,0,0,1,0,1,5,0,2,0,0,2,3,0,24,0,0,0,0,0,0,1,3420,107,590,16
