,month,public_admissions,total_rainfall,datetime_x,year_x,no_of_rainy_days,datetime_y,year_y,north,south,east,west,central
83,2020-12,39918,253.2,2020-12-01,2020,20,2020-12-01,2020,42.56720430107527,48.05913978494624,47.73252688172043,33.77956989247312,40.47849462365591
84,2021-01,38086,692.8,2021-01-01,2021,17,2021-01-01,2021,48.803763440860216,46.39247311827957,47.223118279569896,40.60349462365591,45.41935483870968
85,2021-02,34814,1.0,2021-02-01,2021,2,2021-02-01,2021,51.773809523809526,48.013392857142854,51.595238095238095,44.4375,50.25
86,2021-03,41414,182.4,2021-03-01,2021,14,2021-03-01,2021,46.91129032258065,43.22715053763441,43.276881720430104,39.223118279569896,46.568548387096776
87,2021-04,40168,290.4,2021-04-01,2021,14,2021-04-01,2021,53.03611111111111,47.084722222222226,49.0625,46.18611111111111,51.395833333333336
88,2021-05,34720,245.8,2021-05-01,2021,13,2021-05-01,2021,50.5255376344086,41.729838709677416,41.528225806451616,41.57795698924731,47.206989247311824
89,2021-06,36495,93.4,2021-06-01,2021,20,2021-06-01,2021,51.8125,44.361111111111114,39.99722222222222,40.93194444444445,49.451388888888886
90,2021-07,40770,195.8,2021-07-01,2021,12,2021-07-01,2021,52.85752688172043,45.490591397849464,41.08736559139785,45.90725806451613,52.78763440860215
91,2021-08,38681,293.6,2021-08-01,2021,24,2021-08-01,2021,47.715053763440864,38.5994623655914,34.545698924731184,38.87903225806452,46.130376344086024
92,2021-09,40430,205.4,2021-09-01,2021,14,2021-09-01,2021,49.575,37.07361111111111,38.99861111111111,42.125,50.208333333333336
93,2021-10,38369,177.0,2021-10-01,2021,14,2021-10-01,2021,52.17204301075269,41.895161290322584,48.151881720430104,45.818548387096776,53.174731182795696
94,2021-11,38417,312.4,2021-11-01,2021,23,2021-11-01,2021,48.65277777777778,36.12222222222222,44.420833333333334,39.65694444444444,48.293055555555554
95,2021-12,38789,119.6,2021-12-01,2021,15,2021-12-01,2021,45.649193548387096,39.93010752688172,44.340053763440864,36.274193548387096,46.00268817204301
96,2022-01,39703,99.8,2022-01-01,2022,9,2022-01-01,2022,29.0,27.0,32.0,17.0,29.0
