date,station,weekly mean rainfall (mm),highest 30 min rainfall(mm),highest 60 min rainfall (mm),highest 120 min rainfall (mm),mean temperature,maximum temperature,minimum temperature
2014-10-25,Changi,1.5142857142857142,2.4,4.0,5.4,27.957142857142856,33.2,24.8
2014-11-01,Changi,9.914285714285713,21.0,28.2,28.2,28.342857142857145,33.5,24.0
2014-11-08,Changi,13.4,19.8,20.2,20.4,28.014285714285712,33.4,22.8
2014-11-15,Changi,12.771428571428572,43.6,60.4,63.0,27.17142857142857,32.8,22.2
2014-11-22,Changi,2.5142857142857147,6.2,7.8,8.0,27.02857142857143,32.3,24.5
2014-11-29,Changi,6.514285714285714,32.2,38.4,38.4,27.599999999999998,32.7,23.7
2014-12-06,Changi,10.37142857142857,22.2,26.6,27.2,27.37142857142857,33.5,22.4
2014-12-13,Changi,5.028571428571429,27.8,28.4,28.6,27.914285714285715,33.6,23.8
2014-12-20,Changi,5.514285714285714,16.4,17.2,17.6,27.12857142857143,32.4,24.0
2014-12-27,Changi,13.714285714285714,25.2,29.2,34.4,26.571428571428573,31.4,23.7
2015-01-03,Changi,0.8,1.2,1.8,1.8,25.95,29.9,24.2
2015-01-10,Changi,11.285714285714286,26.6,28.2,33.6,26.428571428571427,32.4,23.3
2015-01-17,Changi,0.0,0.0,0.0,0.0,27.12857142857143,31.5,24.0
2015-01-24,Changi,0.0,0.0,0.0,0.0,26.942857142857143,30.9,23.9
2015-01-31,Changi,0.0,0.0,0.0,0.0,27.071428571428573,31.8,24.0
2015-02-07,Changi,2.1142857142857143,6.4,8.2,10.8,26.25714285714286,31.2,23.6
2015-02-14,Changi,0.0,0.0,0.0,0.0,26.657142857142855,31.1,23.3
2015-02-21,Changi,0.5714285714285714,2.6,2.6,3.6,27.285714285714285,32.4,23.1
2015-02-28,Changi,0.0,0.0,0.0,0.0,27.7,33.6,24.5
2015-03-07,Changi,2.0,11.8,13.0,14.0,28.099999999999998,34.4,23.4
2015-03-14,Changi,6.571428571428571,23.6,25.2,29.8,27.685714285714287,33.7,23.7
2015-03-21,Changi,0.0,0.0,0.0,0.0,28.342857142857145,33.4,25.7
2015-03-28,Changi,0.9142857142857144,6.4,6.4,6.4,28.62857142857143,33.1,23.6
2015-04-04,Changi,6.171428571428572,12.4,13.4,13.6,27.728571428571428,33.4,24.5
2015-04-11,Changi,1.6857142857142857,8.6,8.8,8.8,28.74285714285714,33.7,25.1
2015-04-18,Changi,0.08571428571428572,0.6,0.6,0.6,29.314285714285717,34.4,25.9
2015-04-25,Changi,1.8571428571428572,4.2,6.4,8.2,28.685714285714287,34.1,24.0
2015-05-02,Changi,5.571428571428571,13.2,16.2,16.4,27.985714285714288,33.3,24.0
2015-05-09,Changi,4.771428571428571,9.2,11.6,18.0,28.24285714285714,33.2,24.0
2015-05-16,Changi,4.2,16.4,16.6,16.6,28.957142857142856,34.2,24.9
2015-05-23,Changi,1.1142857142857143,1.8,2.8,4.4,28.785714285714285,33.0,25.3
2015-05-30,Changi,0.2857142857142857,1.0,1.4,1.4,29.071428571428573,34.2,25.4
2015-06-06,Changi,2.4,7.6,9.2,12.8,29.214285714285715,34.3,24.9
2015-06-13,Changi,6.942857142857142,17.2,18.6,19.4,28.157142857142855,32.5,24.7
2015-06-20,Changi,2.5142857142857147,5.2,8.6,9.2,28.47142857142857,32.4,24.2
2015-06-27,Changi,0.0,0.0,0.0,0.0,29.97142857142857,33.2,28.0
2015-07-04,Changi,5.971428571428571,15.4,20.4,22.2,29.057142857142857,32.8,22.1
2015-07-11,Changi,4.857142857142857,17.4,19.8,20.0,29.114285714285717,32.4,23.6
2015-07-18,Changi,6.771428571428571,41.6,45.0,45.6,29.228571428571428,32.6,24.2
2015-07-25,Changi,0.08571428571428573,0.4,0.4,0.4,29.442857142857143,32.7,26.4
2015-08-01,Changi,1.0571428571428572,2.8,2.8,2.8,28.32857142857143,32.7,24.1
2015-08-08,Changi,11.771428571428572,26.6,28.0,28.2,27.585714285714285,32.1,22.6
2015-08-15,Changi,11.200000000000001,29.4,47.8,57.6,28.242857142857144,32.3,22.7
2015-08-22,Changi,0.0,0.0,0.0,0.0,28.885714285714283,32.7,26.2
2015-08-29,Changi,3.1714285714285713,19.0,22.2,22.2,28.928571428571427,33.1,24.4
2015-09-05,Changi,0.2285714285714286,1.2,1.2,1.2,29.2,33.2,25.9
2015-09-12,Changi,2.4857142857142853,13.2,16.8,17.4,28.485714285714288,32.7,23.6
2015-09-19,Changi,4.971428571428571,11.6,15.2,16.4,28.385714285714283,32.8,23.1
2015-09-26,Changi,0.6857142857142857,4.6,4.6,4.6,28.942857142857143,32.6,26.0
2015-10-03,Changi,4.685714285714285,19.2,19.6,19.6,28.314285714285713,32.3,23.5
2015-10-10,Changi,2.942857142857143,17.4,17.4,17.4,28.442857142857143,33.0,23.4
2015-10-17,Changi,1.1142857142857143,5.4,7.8,7.8,29.114285714285717,33.4,23.9
2015-10-24,Changi,0.08571428571428572,0.6,0.6,0.8,29.32857142857143,33.5,26.4
2015-10-31,Changi,4.228571428571429,3.6,4.6,4.6,28.0,33.6,21.9
2015-11-07,Changi,0.2571428571428571,1.4,1.4,1.4,28.12857142857143,32.9,25.0
2015-11-14,Changi,0.19999999999999998,1.4,1.4,1.4,28.114285714285717,33.4,25.5
2015-11-21,Changi,1.657142857142857,6.8,6.8,6.8,27.785714285714285,32.9,23.7
2015-11-28,Changi,4.057142857142857,13.2,18.0,22.8,27.8,33.6,24.2
2015-12-05,Changi,9.200000000000001,22.2,26.2,28.6,27.97142857142857,33.0,23.2
2015-12-12,Changi,16.685714285714287,18.0,26.0,39.2,27.657142857142855,32.7,22.5
2015-12-19,Changi,3.057142857142857,7.8,8.2,8.2,27.557142857142857,32.1,23.9
2015-12-26,Changi,10.085714285714287,24.6,31.6,39.0,27.971428571428568,33.1,22.8
2016-01-02,Changi,11.64,21.0,23.0,24.4,27.48,32.5,23.8
2016-01-09,Changi,2.628571428571429,3.8,6.0,9.0,28.02857142857143,32.4,24.5
2016-01-16,Changi,2.5714285714285716,10.4,11.4,12.2,28.599999999999998,32.8,25.6
2016-01-23,Changi,5.628571428571428,24.6,29.4,31.4,28.32857142857143,32.5,23.8
2016-01-30,Changi,1.3714285714285714,2.4,2.4,2.8,28.614285714285717,32.8,25.0
2016-02-06,Changi,1.8,5.2,6.8,9.2,28.442857142857143,32.7,24.9
2016-02-13,Changi,3.914285714285714,7.2,9.6,10.0,27.400000000000002,32.1,24.2
2016-02-20,Changi,10.6,17.0,21.2,23.2,27.7,32.4,23.8
2016-02-27,Changi,10.257142857142856,24.4,44.6,55.4,27.714285714285715,31.9,23.3
2016-03-05,Changi,0.05714285714285715,0.2,0.4,0.4,28.5,32.2,26.0
2016-03-12,Changi,0.31428571428571433,1.0,1.2,1.4,28.928571428571427,33.8,26.4
2016-03-19,Changi,0.34285714285714286,2.4,2.4,2.4,28.942857142857143,33.8,25.4
2016-03-26,Changi,0.17142857142857143,1.0,1.0,1.0,29.085714285714285,34.1,25.7
2016-04-02,Changi,0.0,0.0,0.0,0.0,29.557142857142857,34.4,26.5
2016-04-09,Changi,2.142857142857143,7.6,7.6,7.6,29.17142857142857,34.4,25.9
2016-04-16,Changi,3.4,9.4,9.4,9.4,29.599999999999998,35.0,25.6
2016-04-23,Changi,0.08571428571428573,0.4,0.4,0.4,30.02857142857143,34.8,27.2
2016-04-30,Changi,7.2,12.2,14.2,14.2,28.885714285714283,33.8,25.3
2016-05-07,Changi,0.08571428571428572,0.6,0.6,0.6,29.82857142857143,34.6,26.7
2016-05-14,Changi,3.6,10.6,11.0,15.8,29.414285714285715,34.5,25.1
2016-05-21,Changi,14.257142857142856,40.8,42.0,53.6,28.87142857142857,34.3,24.7
2016-05-28,Changi,8.171428571428573,20.2,21.2,29.8,29.24285714285714,33.2,23.9
2016-06-04,Changi,2.2285714285714286,8.6,9.0,10.0,28.385714285714283,32.5,25.0
2016-06-11,Changi,2.9428571428571426,11.2,14.4,15.8,28.8,32.7,25.1
2016-06-18,Changi,9.6,25.2,33.8,34.6,28.0,32.1,24.2
2016-06-25,Changi,10.0,43.8,52.4,56.8,28.285714285714285,32.9,22.5
2016-07-02,Changi,0.1142857142857143,0.4,0.6,0.8,29.585714285714285,33.4,25.9
2016-07-09,Changi,0.9142857142857144,4.4,4.4,4.4,29.7,33.4,24.3
2016-07-16,Changi,0.7714285714285715,1.6,1.6,1.6,28.442857142857143,33.4,25.1
2016-07-23,Changi,21.37142857142857,33.6,39.8,53.8,27.185714285714287,33.3,22.5
2016-07-30,Changi,0.4571428571428572,0.6,1.2,1.4,28.0,31.9,24.2
2016-08-06,Changi,5.428571428571429,21.6,22.2,22.2,28.25714285714286,32.7,22.1
2016-08-13,Changi,1.0,3.6,3.6,3.6,29.32857142857143,32.8,25.2
2016-08-20,Changi,1.9428571428571428,7.8,9.2,10.8,29.285714285714285,32.9,22.7
2016-08-27,Changi,8.914285714285715,23.2,29.8,30.6,28.842857142857145,33.8,22.9
2016-09-03,Changi,3.685714285714286,10.2,10.2,10.2,28.3,32.3,24.5
2016-09-10,Changi,4.257142857142857,9.4,12.2,12.6,28.12857142857143,33.0,22.9
2016-09-17,Changi,7.542857142857143,12.6,15.8,17.0,27.985714285714288,32.3,22.7
2016-09-24,Changi,3.642857142857143,9.8,14.0,15.4,28.37142857142857,33.6,22.6
2016-10-01,Changi,1.0285714285714287,6.2,6.8,7.0,28.62857142857143,34.4,24.3
2016-10-08,Changi,14.0,53.4,73.8,75.4,28.142857142857142,33.9,21.6
2016-10-15,Changi,0.2571428571428572,1.4,1.4,1.4,29.514285714285712,34.6,24.3
2016-10-22,Changi,4.6571428571428575,17.2,19.6,20.4,28.75714285714286,32.9,22.7
2016-10-29,Changi,6.885714285714286,12.8,12.8,13.0,27.071428571428573,32.4,23.3
2016-11-05,Changi,8.571428571428571,17.8,23.0,25.0,27.542857142857144,33.0,23.6
2016-11-12,Changi,13.000000000000002,24.4,45.2,50.8,27.571428571428573,32.6,23.3
2016-11-19,Changi,18.142857142857142,34.0,52.8,58.2,27.085714285714285,31.7,22.7
2016-11-26,Changi,1.6857142857142855,1.8,2.2,3.6,27.75714285714286,32.2,25.1
2016-12-03,Changi,3.057142857142857,8.0,11.6,12.0,27.114285714285717,32.2,24.3
2016-12-10,Changi,14.257142857142858,31.8,32.8,33.4,27.97142857142857,33.1,24.2
2016-12-17,Changi,5.685714285714285,19.6,20.4,20.6,27.87142857142857,33.6,23.0
2016-12-24,Changi,16.6,30.6,43.0,67.2,27.428571428571427,33.4,23.3
2016-12-31,Changi,2.314285714285714,4.2,8.2,8.4,26.614285714285717,32.0,23.4
2017-01-07,Changi,0.6857142857142857,2.4,2.8,2.8,27.457142857142856,32.9,23.5
2017-01-14,Changi,4.371428571428571,23.4,24.0,24.0,27.785714285714285,33.7,21.8
2017-01-21,Changi,6.6571428571428575,13.8,15.8,16.6,26.74285714285714,32.3,23.5
2017-01-28,Changi,16.085714285714285,26.8,30.6,30.8,26.02857142857143,30.8,23.0
2017-02-04,Changi,6.428571428571429,17.0,22.8,24.8,26.714285714285715,32.1,24.5
2017-02-11,Changi,7.771428571428571,22.2,23.4,23.4,26.928571428571427,32.4,23.5
2017-02-18,Changi,3.457142857142857,5.4,7.4,9.8,26.557142857142857,30.5,22.6
2017-02-25,Changi,4.971428571428571,10.0,16.6,21.0,27.099999999999998,31.6,23.6
2017-03-04,Changi,7.3428571428571425,6.2,7.4,8.6,26.585714285714285,30.8,22.9
2017-03-11,Changi,0.0,0.0,0.0,0.0,27.228571428571428,31.6,24.5
2017-03-18,Changi,0.0,0.0,0.0,0.0,27.7,33.3,24.5
2017-03-25,Changi,3.114285714285714,8.8,9.2,14.2,27.97142857142857,32.8,24.1
2017-04-01,Changi,10.714285714285714,20.2,27.0,28.8,27.157142857142855,33.3,23.6
2017-04-08,Changi,6.6,28.0,33.8,36.0,27.87142857142857,34.4,22.9
2017-04-15,Changi,5.828571428571428,8.2,15.0,20.0,27.771428571428572,32.4,23.1
2017-04-22,Changi,4.314285714285714,10.0,11.6,16.8,28.157142857142855,32.9,23.6
2017-04-29,Changi,12.228571428571428,28.2,39.4,42.2,27.428571428571427,32.1,22.8
2017-05-06,Changi,2.6285714285714286,8.0,8.0,8.0,28.571428571428573,32.7,24.8
2017-05-13,Changi,4.571428571428571,11.2,13.4,15.8,28.24285714285714,32.4,24.8
2017-05-20,Changi,1.2285714285714284,3.8,3.8,4.0,29.071428571428573,32.5,25.6
2017-05-27,Changi,10.542857142857143,23.4,26.6,27.2,28.042857142857144,32.2,23.6
2017-06-03,Changi,9.542857142857143,26.0,41.4,43.4,28.557142857142857,32.8,23.6
2017-06-10,Changi,0.0,0.0,0.0,0.0,29.571428571428573,32.7,26.6
2017-06-17,Changi,1.2,7.2,8.0,8.0,28.714285714285715,33.0,25.4
2017-06-24,Changi,9.085714285714285,20.0,26.8,28.2,27.87142857142857,32.3,22.2
2017-07-01,Changi,3.685714285714286,13.6,20.2,22.8,27.771428571428572,32.0,23.5
